Train: 	Epoch    0	Batch   0	Step      1	Loss 1.609511	UAR 0.218182	lr 0.000001
Train: 	Epoch    0	Batch   1	Step      2	Loss 1.608845	UAR 0.240000	lr 0.000002
Train: 	Epoch    0	Batch   2	Step      3	Loss 1.609129	UAR 0.200000	lr 0.000003
Train: 	Epoch    0	Batch   3	Step      4	Loss 1.608503	UAR 0.320000	lr 0.000004
Train: 	Epoch    0	Batch   4	Step      5	Loss 1.608341	UAR 0.200000	lr 0.000005
Train: 	Epoch    0	Batch   5	Step      6	Loss 1.608305	UAR 0.200000	lr 0.000006
Train: 	Epoch    0	Batch   6	Step      7	Loss 1.608063	UAR 0.260000	lr 0.000007
Train: 	Epoch    0	Batch   7	Step      8	Loss 1.608423	UAR 0.200000	lr 0.000008
Train: 	Epoch    0	Batch   8	Step      9	Loss 1.608439	UAR 0.266667	lr 0.000009
Train: 	Epoch    0	Batch   9	Step     10	Loss 1.608572	UAR 0.250000	lr 0.000010
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch    1	Batch   0	Step     11	Loss 1.608422	UAR 0.236364	lr 0.000011
Train: 	Epoch    1	Batch   1	Step     12	Loss 1.608527	UAR 0.225000	lr 0.000012
Train: 	Epoch    1	Batch   2	Step     13	Loss 1.608416	UAR 0.300000	lr 0.000013
Train: 	Epoch    1	Batch   3	Step     14	Loss 1.608330	UAR 0.228571	lr 0.000014
Train: 	Epoch    1	Batch   4	Step     15	Loss 1.608270	UAR 0.233333	lr 0.000015
Train: 	Epoch    1	Batch   5	Step     16	Loss 1.608449	UAR 0.200000	lr 0.000016
Train: 	Epoch    1	Batch   6	Step     17	Loss 1.608416	UAR 0.300000	lr 0.000017
Train: 	Epoch    1	Batch   7	Step     18	Loss 1.608532	UAR 0.200000	lr 0.000018
Train: 	Epoch    1	Batch   8	Step     19	Loss 1.608412	UAR 0.233333	lr 0.000019
Train: 	Epoch    1	Batch   9	Step     20	Loss 1.608361	UAR 0.200000	lr 0.000020
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch    2	Batch   0	Step     21	Loss 1.608289	UAR 0.266667	lr 0.000021
Train: 	Epoch    2	Batch   1	Step     22	Loss 1.608357	UAR 0.200000	lr 0.000022
Train: 	Epoch    2	Batch   2	Step     23	Loss 1.608178	UAR 0.240000	lr 0.000023
Train: 	Epoch    2	Batch   3	Step     24	Loss 1.608272	UAR 0.222222	lr 0.000024
Train: 	Epoch    2	Batch   4	Step     25	Loss 1.608343	UAR 0.222222	lr 0.000025
Train: 	Epoch    2	Batch   5	Step     26	Loss 1.608325	UAR 0.200000	lr 0.000026
Train: 	Epoch    2	Batch   6	Step     27	Loss 1.608334	UAR 0.244444	lr 0.000027
Train: 	Epoch    2	Batch   7	Step     28	Loss 1.608337	UAR 0.200000	lr 0.000028
Train: 	Epoch    2	Batch   8	Step     29	Loss 1.608330	UAR 0.244444	lr 0.000029
Train: 	Epoch    2	Batch   9	Step     30	Loss 1.608290	UAR 0.300000	lr 0.000030
Validate: 	Loss 1.607506	UAR 0.267857
Train: 	Epoch    3	Batch   0	Step     31	Loss 1.608314	UAR 0.228571	lr 0.000031
Train: 	Epoch    3	Batch   1	Step     32	Loss 1.608317	UAR 0.200000	lr 0.000032
Train: 	Epoch    3	Batch   2	Step     33	Loss 1.608298	UAR 0.240000	lr 0.000033
Train: 	Epoch    3	Batch   3	Step     34	Loss 1.608339	UAR 0.220000	lr 0.000034
Train: 	Epoch    3	Batch   4	Step     35	Loss 1.608223	UAR 0.275000	lr 0.000035
Train: 	Epoch    3	Batch   5	Step     36	Loss 1.608259	UAR 0.200000	lr 0.000036
Train: 	Epoch    3	Batch   6	Step     37	Loss 1.608254	UAR 0.244444	lr 0.000037
Train: 	Epoch    3	Batch   7	Step     38	Loss 1.608297	UAR 0.200000	lr 0.000038
Train: 	Epoch    3	Batch   8	Step     39	Loss 1.608257	UAR 0.225000	lr 0.000039
Train: 	Epoch    3	Batch   9	Step     40	Loss 1.608255	UAR 0.200000	lr 0.000040
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch    4	Batch   0	Step     41	Loss 1.608232	UAR 0.228571	lr 0.000041
Train: 	Epoch    4	Batch   1	Step     42	Loss 1.608261	UAR 0.200000	lr 0.000042
Train: 	Epoch    4	Batch   2	Step     43	Loss 1.608240	UAR 0.280000	lr 0.000043
Train: 	Epoch    4	Batch   3	Step     44	Loss 1.608226	UAR 0.228571	lr 0.000044
Train: 	Epoch    4	Batch   4	Step     45	Loss 1.608279	UAR 0.200000	lr 0.000045
Train: 	Epoch    4	Batch   5	Step     46	Loss 1.608326	UAR 0.225000	lr 0.000046
Train: 	Epoch    4	Batch   6	Step     47	Loss 1.608310	UAR 0.200000	lr 0.000047
Train: 	Epoch    4	Batch   7	Step     48	Loss 1.608258	UAR 0.254545	lr 0.000048
Train: 	Epoch    4	Batch   8	Step     49	Loss 1.608244	UAR 0.240000	lr 0.000049
Train: 	Epoch    4	Batch   9	Step     50	Loss 1.608234	UAR 0.200000	lr 0.000050
Validate: 	Loss 1.607506	UAR 0.267857
Train: 	Epoch    5	Batch   0	Step     51	Loss 1.608241	UAR 0.240000	lr 0.000051
Train: 	Epoch    5	Batch   1	Step     52	Loss 1.608254	UAR 0.233333	lr 0.000052
Train: 	Epoch    5	Batch   2	Step     53	Loss 1.608183	UAR 0.266667	lr 0.000053
Train: 	Epoch    5	Batch   3	Step     54	Loss 1.608170	UAR 0.233333	lr 0.000054
Train: 	Epoch    5	Batch   4	Step     55	Loss 1.608178	UAR 0.200000	lr 0.000055
Train: 	Epoch    5	Batch   5	Step     56	Loss 1.608221	UAR 0.200000	lr 0.000056
Train: 	Epoch    5	Batch   6	Step     57	Loss 1.608230	UAR 0.200000	lr 0.000057
Train: 	Epoch    5	Batch   7	Step     58	Loss 1.608248	UAR 0.216667	lr 0.000058
Train: 	Epoch    5	Batch   8	Step     59	Loss 1.608211	UAR 0.260000	lr 0.000059
Train: 	Epoch    5	Batch   9	Step     60	Loss 1.608220	UAR 0.200000	lr 0.000060
Validate: 	Loss 1.607506	UAR 0.267857
Train: 	Epoch    6	Batch   0	Step     61	Loss 1.608193	UAR 0.240000	lr 0.000061
Train: 	Epoch    6	Batch   1	Step     62	Loss 1.608197	UAR 0.240000	lr 0.000062
Train: 	Epoch    6	Batch   2	Step     63	Loss 1.608213	UAR 0.200000	lr 0.000063
Train: 	Epoch    6	Batch   3	Step     64	Loss 1.608184	UAR 0.266667	lr 0.000064
Train: 	Epoch    6	Batch   4	Step     65	Loss 1.608147	UAR 0.240000	lr 0.000065
Train: 	Epoch    6	Batch   5	Step     66	Loss 1.608164	UAR 0.233333	lr 0.000066
Train: 	Epoch    6	Batch   6	Step     67	Loss 1.608194	UAR 0.200000	lr 0.000067
Train: 	Epoch    6	Batch   7	Step     68	Loss 1.608194	UAR 0.240000	lr 0.000068
Train: 	Epoch    6	Batch   8	Step     69	Loss 1.608221	UAR 0.200000	lr 0.000069
Train: 	Epoch    6	Batch   9	Step     70	Loss 1.608209	UAR 0.250000	lr 0.000070
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch    7	Batch   0	Step     71	Loss 1.608166	UAR 0.300000	lr 0.000071
Train: 	Epoch    7	Batch   1	Step     72	Loss 1.608171	UAR 0.240000	lr 0.000072
Train: 	Epoch    7	Batch   2	Step     73	Loss 1.608132	UAR 0.300000	lr 0.000073
Train: 	Epoch    7	Batch   3	Step     74	Loss 1.608156	UAR 0.200000	lr 0.000074
Train: 	Epoch    7	Batch   4	Step     75	Loss 1.608164	UAR 0.220000	lr 0.000075
Train: 	Epoch    7	Batch   5	Step     76	Loss 1.608204	UAR 0.200000	lr 0.000076
Train: 	Epoch    7	Batch   6	Step     77	Loss 1.608214	UAR 0.200000	lr 0.000077
Train: 	Epoch    7	Batch   7	Step     78	Loss 1.608205	UAR 0.400000	lr 0.000078
Train: 	Epoch    7	Batch   8	Step     79	Loss 1.608197	UAR 0.200000	lr 0.000079
